raw_row_number,company_name_raw,stand_no,hall,sector,products,country,website_text,website_url,company_column,details,source_url
108,"Tianjin KingYork Pharmaceuticals Co., Ltd.",,,,,,,,"Tianjin KingYork Pharmaceuticals Co., Ltd.",https://biomiddleeast.com/exhibitors/tianjin-kingyork-pharmaceuticals-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
109,Pharmapack Technologies Corporation,,,,,,,,Pharmapack Technologies Corporation,https://biomiddleeast.com/exhibitors/pharmapack-technologies-corporation,https://biomiddleeast.com/exhibitor-list-2026
110,CATALYSIS SL,,,,,,,,CATALYSIS SL,https://biomiddleeast.com/exhibitors/catalysis-sl,https://biomiddleeast.com/exhibitor-list-2026
111,Bioworkshops（suzhou）Ltd,,,,,,,,Bioworkshops（suzhou）Ltd,https://biomiddleeast.com/exhibitors/bioworkshopssuzhoultd,https://biomiddleeast.com/exhibitor-list-2026
112,Quadro Pharma,,,,,,,,Quadro Pharma,https://biomiddleeast.com/exhibitors/quadro-pharma,https://biomiddleeast.com/exhibitor-list-2026
113,"Baoli Packaging Material Danyang Co., Ltd",,,,,,,,"Baoli Packaging Material Danyang Co., Ltd",https://biomiddleeast.com/exhibitors/baoli-packaging-material-danyang-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
114,"Kexing Biopharm Co.,Ltd",,,,,,,,"Kexing Biopharm Co.,Ltd",https://biomiddleeast.com/exhibitors/kexing-biopharm-coltd,https://biomiddleeast.com/exhibitor-list-2026
115,"Shenzhen Bona Pharma Technology Co., Ltd",,,,,,,,"Shenzhen Bona Pharma Technology Co., Ltd",https://biomiddleeast.com/exhibitors/shenzhen-bona-pharma-technology-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
116,Kinnova Manufacturing Co.,,,,,,,,Kinnova Manufacturing Co.,https://biomiddleeast.com/exhibitors/kinnova-manufacturing-co,https://biomiddleeast.com/exhibitor-list-2026
117,KRUX PHARMA PVT LTD,,,,,,,,KRUX PHARMA PVT LTD,https://biomiddleeast.com/exhibitors/krux-pharma-pvt-ltd,https://biomiddleeast.com/exhibitor-list-2026
118,"Wooshin Labottach Co., Ltd.",,,,,,,,"Wooshin Labottach Co., Ltd.",https://biomiddleeast.com/exhibitors/wooshin-labottach-co-ltd,https://biomiddleeast.com/exhibitor-list-2026
119,International Consultancy Services,,,,,,,,International Consultancy Services,https://biomiddleeast.com/exhibitors/international-consultancy-services,https://biomiddleeast.com/exhibitor-list-2026
120,Bright Moon Seaweed Group,,,,,,,,Bright Moon Seaweed Group,https://biomiddleeast.com/exhibitors/bright-moon-seaweed-group,https://biomiddleeast.com/exhibitor-list-2026
121,CalFix,,,,,,,,CalFix,https://biomiddleeast.com/exhibitors/calfix,https://biomiddleeast.com/exhibitor-list-2026
122,OPTIMA packaging group GmbH,,,,,,,,OPTIMA packaging group GmbH,https://biomiddleeast.com/exhibitors/optima-packaging-group-gmbh,https://biomiddleeast.com/exhibitor-list-2026
123,Care Icon Professional Consulting,,,,,,,,Care Icon Professional Consulting,https://biomiddleeast.com/exhibitors/care-icon-professional-consulting,https://biomiddleeast.com/exhibitor-list-2026
124,Sugar Snapshot,,,,,,,,Sugar Snapshot,https://biomiddleeast.com/exhibitors/sugar-snapshot,https://biomiddleeast.com/exhibitor-list-2026
125,Karyon BIO,,,,,,,,Karyon BIO,https://biomiddleeast.com/exhibitors/karyon-bio,https://biomiddleeast.com/exhibitor-list-2026
126,Prism Industrial Systems Private Limited,,,,,,,,Prism Industrial Systems Private Limited,https://biomiddleeast.com/exhibitors/prism-industrial-systems-private-limited,https://biomiddleeast.com/exhibitor-list-2026
